04/11/2021,17:12:44,25,33
04/11/2021,17:12:50,20,40
04/11/2021,17:12:57,20,40
04/11/2021,17:13:03,20,40
04/11/2021,17:13:09,20,40
04/11/2021,17:13:15,20,40
04/11/2021,17:13:22,20,35
04/11/2021,17:13:28,20,31
04/11/2021,17:13:34,20,30
04/11/2021,17:13:40,20,30
04/11/2021,17:13:47,19,35
04/11/2021,17:13:53,19,38
04/11/2021,17:13:59,19,39
04/11/2021,17:14:05,19,39
04/11/2021,17:14:12,19,40
04/11/2021,17:14:18,19,40
04/11/2021,17:14:24,20,40
04/11/2021,17:14:31,20,40
04/11/2021,17:14:37,20,40
04/11/2021,17:14:43,20,40
04/11/2021,17:14:49,20,40
